StationUID,ServiceAvailable,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime
TXG3070,1,11,27,2020-07-23T09:36:33+08:00
TXG3071,1,15,26,2020-07-23T09:36:40+08:00
TXG3072,1,15,14,2020-07-23T09:36:42+08:00
TXG3073,1,9,37,2020-07-23T09:36:17+08:00
TXG3074,1,43,17,2020-07-23T09:36:18+08:00
TXG3075,1,40,6,2020-07-23T09:36:34+08:00
TXG3076,1,12,26,2020-07-23T09:36:34+08:00
TXG3077,1,12,22,2020-07-23T09:36:22+08:00
TXG3078,1,18,28,2020-07-23T09:36:26+08:00
TXG3079,1,31,10,2020-07-23T09:36:40+08:00
TXG3080,1,29,21,2020-07-23T09:36:38+08:00
TXG3081,1,23,13,2020-07-23T09:36:43+08:00
TXG3082,1,27,15,2020-07-23T09:36:20+08:00
TXG3083,1,31,37,2020-07-23T09:36:29+08:00
TXG3084,1,11,19,2020-07-23T09:36:37+08:00
TXG3085,1,20,30,2020-07-23T09:36:22+08:00
TXG3086,1,21,19,2020-07-23T09:36:24+08:00
TXG3087,1,27,9,2020-07-23T09:36:17+08:00
TXG3088,1,12,20,2020-07-23T09:36:36+08:00
TXG3089,1,13,17,2020-07-23T09:36:45+08:00
TXG3090,1,20,12,2020-07-23T09:36:24+08:00
TXG3091,1,23,39,2020-07-23T09:36:32+08:00
TXG3092,1,12,22,2020-07-23T09:36:19+08:00
TXG3093,1,28,14,2020-07-23T09:36:44+08:00
TXG3094,1,17,13,2020-07-23T09:36:43+08:00
TXG3095,1,21,19,2020-07-23T09:36:19+08:00
TXG3096,1,13,31,2020-07-23T09:36:18+08:00
TXG3097,1,20,16,2020-07-23T09:36:24+08:00
TXG3098,1,16,14,2020-07-23T09:36:27+08:00
TXG3099,1,22,23,2020-07-23T09:36:45+08:00
TXG3100,1,15,21,2020-07-23T09:36:26+08:00
TXG3101,1,9,20,2020-07-23T09:36:39+08:00
TXG3102,1,21,18,2020-07-23T09:36:18+08:00
